Date,Temp -Max,Temp - Min,Temp - Avg,HDD,CDD,Precipitation,New Snow,Snow Depth
2018-06-01,75,51,63.0,2,0,0.00,0.0,0
2018-06-02,85,55,70.0,0,5,0.00,0.0,0
2018-06-03,75,56,65.5,0,1,0.00,0.0,0
2018-06-04,67,56,61.5,3,0,0.00,0.0,0
2018-06-05,65,54,59.5,5,0,0.00,0.0,0
2018-06-06,65,54,59.5,5,0,0.00,0.0,0
2018-06-07,66,55,60.5,4,0,0.00,0.0,0
2018-06-08,70,52,61.0,4,0,0.00,0.0,0
2018-06-09,67,55,61.0,4,0,0.00,0.0,0
2018-06-10,68,53,60.5,4,0,0.00,0.0,0
2018-06-11,71,56,63.5,1,0,0.00,0.0,0
2018-06-12,76,57,66.5,0,2,0.00,0.0,0
2018-06-13,76,56,66.0,0,1,0.00,0.0,0
2018-06-14,77,57,67.0,0,2,0.00,0.0,0
2018-06-15,66,56,61.0,4,0,0.00,0.0,0
2018-06-16,71,56,63.5,1,0,0.00,0.0,0
2018-06-17,72,57,64.5,0,0,0.00,0.0,0
2018-06-18,71,56,63.5,1,0,0.00,0.0,0
2018-06-19,67,56,61.5,3,0,0.00,0.0,0
2018-06-20,65,55,60.0,5,0,0.00,0.0,0
2018-06-21,69,54,61.5,3,0,0.00,0.0,0
2018-06-22,81,56,68.5,0,4,0.00,0.0,0
2018-06-23,88,59,73.5,0,9,0.00,0.0,0
2018-06-24,79,59,69.0,0,4,0.00,0.0,0
2018-06-25,79,60,69.5,0,5,0.00,0.0,0
2018-06-26,73,58,65.5,0,1,0.00,0.0,0
2018-06-27,72,59,65.5,0,1,0.00,0.0,0
2018-06-28,71,59,65.0,0,0,0.00,0.0,0
2018-06-29,79,58,68.5,0,4,0.00,0.0,0
2018-06-30,92,61,76.5,0,12,0.00,0.0,0
